Ad clicked Date,Ad Title/Id
2023/06/24 17:17:40 UTC,220673554
2023/01/20 00:48:44 UTC,145111864
2023/02/18 02:49:36 UTC,237343566
2023/01/21 04:47:19 UTC,237349716
2022/06/26 23:44:19 UTC,164950166
2022/08/12 15:33:27 UTC,207190086
2023/03/16 22:05:43 UTC,247612126
2023/03/30 23:56:37 UTC,247618176
2023/03/31 22:33:49 UTC,247618176
2023/04/01 23:34:13 UTC,247618176
2022/08/08 18:54:17 UTC,206987236
2022/07/30 17:41:20 UTC,206622586
2023/01/24 01:38:06 UTC,237453266
2023/02/05 20:14:58 UTC,237455516
2023/02/18 02:49:47 UTC,237594666
2023/01/26 07:18:17 UTC,238120766
2022/07/30 01:56:59 UTC,205971736
2023/07/18 23:30:13 UTC,222642254
2023/08/02 16:09:32 UTC,222829004
2023/07/31 19:24:29 UTC,222902904
2023/07/26 01:06:51 UTC,222902904
2023/07/22 21:10:18 UTC,222967254
2023/08/01 00:48:29 UTC,223086904
2023/07/15 01:54:47 UTC,223086904
2023/07/30 14:57:23 UTC,223133454
2023/07/24 12:23:03 UTC,223133454
2023/07/19 15:49:47 UTC,223133454
2023/07/22 15:39:17 UTC,223133454
2023/07/23 11:47:31 UTC,223711454
2023/03/28 22:33:42 UTC,248763876
2023/03/30 20:28:57 UTC,248763876
2022/06/16 05:02:48 UTC,192171726
2023/07/20 17:41:53 UTC,224199054
2023/04/07 02:34:57 UTC,145111864
2023/08/06 19:53:55 UTC,272377986
2023/04/29 02:11:08 UTC,199081924
2023/02/01 14:43:51 UTC,238917216
2023/02/15 19:22:40 UTC,239107966
2023/08/15 17:08:22 UTC,224268354
2022/03/31 01:52:34 UTC,166708054
2023/08/15 17:08:23 UTC,224268354
2023/07/27 14:37:18 UTC,224268354
2022/05/16 15:25:37 UTC,166708054
2023/03/30 20:29:08 UTC,249229026
2022/03/15 19:56:51 UTC,165886604
2023/08/02 16:09:04 UTC,272682486
2023/07/31 19:13:22 UTC,272682486
2023/07/14 01:51:10 UTC,201940886
2023/06/06 11:13:31 UTC,250189876
2023/06/06 11:13:29 UTC,250189876
2023/02/22 01:02:50 UTC,200497886
2023/04/06 00:33:45 UTC,250341726
2023/04/04 00:04:18 UTC,250347526
2023/07/26 01:03:31 UTC,272785886
2022/07/16 16:55:35 UTC,200407386
2023/08/10 19:36:45 UTC,272843636
2023/02/09 19:24:12 UTC,198978124
2023/08/02 16:12:02 UTC,273170186
2022/09/01 20:55:27 UTC,199545836
2023/08/02 16:08:50 UTC,274246086
2023/07/31 13:50:17 UTC,275305436
2022/07/16 16:53:05 UTC,199441436
2023/03/15 02:21:40 UTC,239201266
2023/02/09 05:24:01 UTC,239439166
2022/03/15 04:50:07 UTC,165620304
2022/03/15 04:50:16 UTC,165620304
2023/08/02 16:09:14 UTC,224861644
2022/11/19 00:45:43 UTC,145111864
2023/02/09 19:24:07 UTC,239712216
2022/03/25 08:09:59 UTC,165351304
2022/03/30 23:43:26 UTC,164937204
2022/03/08 01:49:06 UTC,164937204
2023/02/07 01:08:34 UTC,240065666
2022/03/15 04:37:41 UTC,164937204
2023/03/14 23:56:28 UTC,110971153
2021/10/05 17:15:59 UTC,111560103
2023/02/01 13:12:52 UTC,145111864
2023/01/09 16:38:31 UTC,198520414
2022/09/28 15:34:24 UTC,181298584
2023/01/12 02:13:35 UTC,198824724
2022/10/01 17:24:32 UTC,181298584
2023/01/06 18:29:04 UTC,145111864
2022/10/01 17:24:30 UTC,181298584
2022/10/02 23:30:59 UTC,181298584
2023/02/20 19:36:00 UTC,198520414
2023/06/01 11:30:11 UTC,251703076
