Date,Type,Link
1/22/23 18:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7022972095164776448
1/22/23 18:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7022998397338951680
1/22/23 18:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7022977253722451968
1/22/23 15:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7022939814505140224
1/21/23 22:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7018789399853223936
1/21/23 22:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7022654839566307328
1/20/23 14:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7022163827022565376
1/19/23 3:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7021666972522139648
1/18/23 20:29,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7021573839448866817
1/18/23 19:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7021548742646394880
1/18/23 18:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7021530154824843264
1/18/23 4:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7021326302183849984
12/26/22 21:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7013252629690535936
12/25/22 17:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7012739026663182336
12/5/22 4:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7005372707676553216?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7005372707676553216%2C7005390427059081217%29
11/29/22 0:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7003097069108310016
11/26/22 2:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7001876692965216256
11/11/22 7:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6996625323643535360
11/8/22 19:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6995465775721459712
10/24/22 22:57,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6990441171764310016
9/27/22 17:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6980529137165733888
9/24/22 1:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6977996014909599744
9/17/22 21:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6976985134570905600
9/17/22 0:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6976690597256466432
9/15/22 21:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6976269164936146944
9/15/22 19:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6975997111410593792
